37 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 67166, 'bits': 537365, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 67166, 'remaining_payload_partial_bits': 1} 2.016
38 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 69142, 'bits': 553172, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 69142, 'remaining_payload_partial_bits': 0} 2.034
40 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 94575, 'bits': 756640, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 94575, 'remaining_payload_partial_bits': 4} 2.363
41 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 101729, 'bits': 813870, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 101729, 'remaining_payload_partial_bits': 2} 2.027
42 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 102038, 'bits': 816345, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 102038, 'remaining_payload_partial_bits': 5} 2.013
43 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 102585, 'bits': 820718, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 102585, 'remaining_payload_partial_bits': 2} 2.023
45 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 100099, 'bits': 800833, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 100099, 'remaining_payload_partial_bits': 5} 1.953
46 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 101401, 'bits': 811247, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 101401, 'remaining_payload_partial_bits': 3} 2.06
47 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 102613, 'bits': 820942, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 102613, 'remaining_payload_partial_bits': 2} 2.085
48 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 104090, 'bits': 832763, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 104090, 'remaining_payload_partial_bits': 7} 2.09
49 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 83007, 'bits': 664093, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 83007, 'remaining_payload_partial_bits': 1} 2.315
51 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 86500, 'bits': 692043, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 86500, 'remaining_payload_partial_bits': 7} 1.896
52 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 103068, 'bits': 824585, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 103068, 'remaining_payload_partial_bits': 5} 2.079
53 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 94846, 'bits': 758806, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 94846, 'remaining_payload_partial_bits': 2} 2.384
55 DECLARED_LENGTH_EXCEEDS_CAPACITY {'status': 'DECLARED_LENGTH_EXCEEDS_CAPACITY', 'width': 31, 'length': 2147483647, 'capacity_bytes': 78643, 'bits': 629181, 'exact_nonempty_encoder_header': True, 'readme_width_compatible': True, 'complete_available_bytes': 78643, 'remaining_payload_partial_bits': 1} 2.197
DONE 43 85.99649004199819
