page,segment,start,n,pairs,equal,entropy_bits,ioc,frequencies
10,10,2397,263,262,1,4.806627403087558,0.03352393115258468,"[7, 12, 10, 9, 7, 8, 8, 7, 9, 12, 9, 5, 7, 8, 16, 11, 7, 9, 10, 10, 8, 8, 17, 10, 7, 8, 8, 8, 8]"
11,11,2660,273,272,1,4.770709901774957,0.03504093945270416,"[14, 16, 13, 8, 9, 16, 4, 10, 7, 11, 8, 5, 12, 5, 12, 6, 10, 10, 11, 6, 11, 9, 9, 7, 14, 8, 4, 10, 8]"
12,12,2933,261,260,1,4.792209864602611,0.03395225464190981,"[12, 10, 7, 6, 7, 11, 13, 11, 9, 12, 10, 6, 8, 9, 11, 6, 16, 9, 8, 5, 7, 8, 9, 4, 9, 6, 8, 10, 14]"
13,13,3194,272,271,0,4.802101379788087,0.03342739309746039,"[12, 10, 13, 13, 6, 7, 10, 10, 6, 5, 7, 9, 8, 4, 10, 9, 11, 10, 11, 12, 12, 8, 5, 10, 14, 9, 10, 11, 10]"
14,14,3466,137,136,0,4.720417967344438,0.033812795191069125,"[2, 4, 6, 4, 4, 7, 5, 3, 6, 6, 1, 2, 3, 5, 8, 9, 3, 3, 3, 2, 5, 5, 6, 4, 5, 4, 7, 9, 6]"
15,15,3603,159,158,0,4.692987295808737,0.0359843961468036,"[7, 13, 7, 5, 4, 4, 4, 1, 7, 6, 7, 2, 3, 7, 9, 3, 5, 7, 1, 3, 9, 7, 5, 5, 7, 3, 5, 8, 5]"
16,16,3762,267,266,1,4.798592553933409,0.03353890343837121,"[10, 8, 8, 11, 8, 13, 13, 5, 4, 6, 9, 12, 4, 11, 10, 9, 9, 11, 9, 7, 7, 9, 13, 10, 11, 9, 7, 14, 10]"
17,17,4029,273,272,0,4.796369073611696,0.033828916181857356,"[12, 7, 14, 7, 13, 8, 9, 6, 8, 13, 15, 10, 10, 9, 8, 5, 13, 8, 8, 9, 6, 10, 11, 4, 12, 12, 10, 9, 7]"
18,18,4302,260,259,1,4.7942990618068055,0.03400653400653401,"[10, 10, 6, 11, 9, 12, 7, 6, 6, 6, 8, 7, 10, 10, 8, 6, 9, 9, 10, 7, 8, 11, 14, 17, 6, 6, 7, 10, 14]"
19,19,4562,271,270,5,4.787008982092016,0.034385677190105234,"[12, 5, 6, 15, 9, 8, 9, 11, 10, 10, 9, 16, 7, 9, 6, 10, 8, 7, 5, 8, 8, 10, 9, 15, 12, 14, 5, 7, 11]"
20,20,4833,269,268,1,4.777604663004887,0.03409532264328913,"[7, 11, 11, 5, 11, 10, 11, 5, 6, 1, 12, 11, 11, 8, 12, 12, 6, 9, 7, 14, 14, 9, 10, 9, 10, 10, 8, 11, 8]"
21,21,5102,273,272,1,4.788305505806992,0.034340659340659344,"[8, 6, 12, 17, 5, 10, 12, 10, 7, 9, 11, 10, 4, 17, 7, 9, 7, 5, 8, 9, 8, 9, 11, 9, 10, 12, 10, 12, 9]"
